amet,ettevotte_link,kuulutuse_link,kuupaeva_seisuga
Kokk,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/ou-hotell-euroopa-1/kokk/,2022-03-15
Veoauto ja haagise remondimehhaanik,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tm-service-ou-shell-rimula-brandiesindus/veoauto-ja-haagise-remondimehhaanik/,2022-03-15
Javascript Developer,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/nodeswat-ou/javascript-developer/,2022-03-15
Povar,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/restoran-pelm-ja-restoran-repa/kokk/,2022-03-15
Hommikusöögi teenindaja,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/ou-hotell-euroopa-1/hommikusoogi-teenindaja/,2022-03-15
Kelnerid ja ettekandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/fasteren-ou-la-dolce-vita-restaurant-1/otsime-teenindajaid-teenindajaid/,2022-03-15
Ronijad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/alpinbau-group-ou/toostusalpinist/,2022-03-15
CNC puidupingi operaator,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/meediagrupi-ou/cnc-puidutoopingi-operaator/,2022-03-15
Nõudepesija,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/ou-hotell-euroopa-1/noudepesija/,2022-03-15
Betoneerija,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/reme-grupp-ou/betonshchik/,2022-03-15
Kokk / abikokk / pitsakokk,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/fasteren-ou-la-dolce-vita-restaurant-1/peakokk-abi-peakokk-pitsakokk/,2022-03-15
Klienditeenindaja,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/sushi-ekspert-ou-1/customer-service-representative/,2022-03-15
Veebidisainer,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/erply-software-ou/https-recruitlab.co.uk-i-erply-jobs-13-erply-career/,2022-03-15
Lore Bistroo otsib nõudepesijat!,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/u-bistroo-ou/lore-bistroo-otsib-noudepesijat/,2022-03-15
Kokk,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/sushi-ekspert-ou-1/kokk/,2022-03-15
"Lihaveise farmi talitaja (0,75) + elukoht",https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/hannora-ou/lihaveise-farmi-talitaja/,2022-03-15
Abitööline tootmises,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/meediagrupi-ou/abitooline-tootmises/,2022-03-15
"Metal works: laser cutting; metal bending, prossesing; powder coating",https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/repston-ou/metal-works-laser-cutting-metal-bending-prossesing-powder-coating/,2022-03-15
Каменщик,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/hodes-rental-ou/muursepp/,2022-03-15
Мы ищем в нашу команду разноробочи с опытом работы в ПРОИЗВОДСТВЕ,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/hodes-rental-ou/my-ishchem-v-nashu-komandu-raznorobochi-s-opytom-raboty-v-proizvodstve/,2022-03-15
OPS insener,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/erply-software-ou/ops-engineer/,2022-03-15
Seamstresses,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/ursuit-baltics-as/seamstresses/,2022-03-15
felling work with a brushcutter and spring afforestation,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/eastforest-ou/felling-work-with-a-brushcutter-and-spring-afforestation/,2022-03-15
Locksmith repairman of industrial equipment,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/svs-machine-service-ou/toostusseadmete-lukksepp-remondimees/,2022-03-15
Mehaanik - hooldustehnik,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/jmk-marine-ou/mehaanik-hooldustehnik/,2022-03-15
Tootmisoperaatorid,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/staff-power-ou/tootmisoperaatorid/,2022-03-15
Keevitaja,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/nordstaff-ou/keevitaja/,2022-03-15
TOATEENIJA / ГОРНИЧНАЯ,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/swissotel-estonia-ou-1/room-attendant/,2022-03-15
JavaScript arendaja,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/erply-software-ou/javascript-developer/,2022-03-15
NÕUDEPESIJA / ПОСУДОМОЙКА,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/swissotel-estonia-ou-1/noudepesija-posudomoika/,2022-03-15
Õmbleja,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/nordstaff-ou/ombleja/,2022-03-15
saksakeelne klienditoe spetsialist,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/danpower-eesti-as/german-customer-support/,2022-03-15
Lecturer or Professor in Finance,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/sa-estonian-business-school/professor-or-associate-professor-of-finance/,2022-03-15
Klienditoe spetsialist,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/erply-software-ou/customer-support-specialist/,2022-03-15
CNC operatoor,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/nordstaff-ou/cnc-operatoor/,2022-03-15
Betoneerija,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/nordstaff-ou/betoneerija/,2022-03-15
WordPress spetsialist,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/erply-software-ou/wordpress-specialist/,2022-03-15
Senior Software Engineer (Localisation and Mapping),https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/starship-technologies-ou/https-jobs.lever.co-starship-9918fc11-d6c4-4ca8-a434-3165bed15591/,2022-03-15
Puusepp,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/nordstaff-ou/puusepp/,2022-03-15
Kokad ja ettekandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/talleke-pullike/cooks-and-waiters/,2022-03-15
Kalatöötleja,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/staff-power-ou/kalatootleja/,2022-03-15
Laboriseadmete müügijuht,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tl-group-ou/laboriseadmete-muugijuht/,2022-03-15
Farmitööline,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/laekvere-pm-ou/farmitooline/,2022-03-15
Ehitusinsener,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/p.p-projekt-ou/ehitusinsener/,2022-03-15
Orderpicker for clothing webshop,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/motley-denim-europe-ou/warehouse-worker-for-clothing-webshop/,2022-03-15
Internet marketing specialist for clothing webshop,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/motley-denim-europe-ou/internet-marketing-specialist-for-clothing-webshop/,2022-03-15
Nõudepesija,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tallinn-seaport-hotel-ou/dishwasher/,2022-03-15
Hommikusöögi teenindaja,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tallinn-seaport-hotel-ou/hommikusoogi-teenindaja/,2022-03-15
Projektijuht,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/blrt-grupp/projektijuht/,2022-03-15
Keevitaja,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/blrt-grupp/keevitaja/,2022-03-15
Java arendaja,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/devtailor/java-developer/,2022-03-15
Tarkvaraarenduse praktikant,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/devtailor/software-development-intern/,2022-03-15
TOOTMISLIINI OPERAATOR,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/norma-as/tootmisliini-operaator/,2022-03-15
Teetööline (masinajuht),https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/asfaldigrupp-ou/teetooline/,2022-03-15
Metallkonstruksioonide koostaja,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/blrt-grupp/metallkonstruktsioonide-koostaja/,2022-03-15
Insener-metroloog,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/blrt-grupp/insener-metroloog/,2022-03-15
C- ja CE-kategooria veoautojuht,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/asfaldigrupp-ou/c-ja-ce-kategooria-autojuht/,2022-03-15
Maaler,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/blrt-grupp/maaler/,2022-03-15
Java arendaja,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/margn-ou/java-arendaja/,2022-03-15
SEADISTAJA,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/norma-as/seadistaja/,2022-03-15
"Agiilne tooteomanik, mis on seotud väljaandmise, kasutuselevõtu ja kvaliteedi tagamise meeskonnaga",https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/swedbank-as/agile-product-owner-to-release-deployment-and-quality-assurance-team/,2022-03-15
Senior QA,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/mercans-ou/senior-qa/,2022-03-15
Front-End Developer,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/mercans-ou/senior-front-end-developer/,2022-03-15
Tootmistöötajad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/staff-power-ou/tootmistootajad/,2022-03-15
Cooking assistant,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/rener-invest-ou/cookers-assistant/,2022-03-15
Meremees,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/blrt-grupp/meremees/,2022-03-15
OPERAATOR,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/norma-as/operaator/,2022-03-15
Driver,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/rener-invest-ou/autojuht/,2022-03-15
Software Engineer for Back-End Development,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/guardtime-ou/software-engineer/,2022-03-15
KOKK,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/heal-as/cook-4/,2022-03-15
System Analyst,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/guardtime-ou/system-analyst/,2022-03-15
Tööpakkumine juhile,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/as-hert-transport-1/rahvusvaheliste-vedude-autojuht/,2022-03-15
Integration Engineer,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/mercans-ou/integration-engineer/,2022-03-15
Back-End Developer,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/mercans-ou/senior-back-end-developer/,2022-03-15
Logistika,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/as-hert-transport-1/logistics/,2022-03-15
AUTOLUKUSTUSSEPP,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/as-hert-transport-1/autoremodiluksepp/,2022-03-15
